longitud;latitud;parametro;anio-mes-dia;valor
-3.712222;40.424167;10;2003-10-01;11.45
-3.712222;40.424167;10;2003-11-01;19.58
-3.712222;40.424167;10;2003-12-01;27.33
-3.712222;40.424167;12;2003-01-01;73.35
-3.712222;40.424167;12;2003-02-01;193.7
-3.712222;40.424167;12;2003-03-01;40.06
-3.712222;40.424167;12;2003-04-01;129.9
-3.712222;40.424167;12;2003-05-01;52.15
-3.712222;40.424167;12;2003-06-01;57.80
-3.712222;40.424167;12;2003-07-01;48.13
-3.712222;40.424167;12;2003-08-01;111.2
-3.712222;40.424167;12;2003-09-01;34.48
-3.712222;40.424167;12;2003-10-01;78.49
-3.712222;40.424167;12;2003-11-01;130.9
-3.712222;40.424167;12;2003-12-01;180.1
-3.712222;40.424167;14;2003-01-01;18.52
-3.712222;40.424167;14;2003-02-01;13.03
-3.712222;40.424167;14;2003-03-01;32.22
-3.712222;40.424167;14;2003-04-01;26.42
-3.712222;40.424167;14;2003-05-01;51.62
-3.712222;40.424167;14;2003-06-01;41.11
-3.712222;40.424167;14;2003-07-01;50.90
-3.712222;40.424167;14;2003-08-01;48.00
-3.712222;40.424167;14;2003-09-01;49.72
-3.712222;40.424167;14;2003-10-01;27.55
-3.712222;40.424167;14;2003-11-01;20.63
-3.712222;40.424167;14;2003-12-01;9.110
-3.712222;40.424167;81;2003-01-01;1.410
-3.712222;40.424167;81;2003-02-01;1.420
-3.712222;40.424167;81;2003-03-01;1.530
-3.712222;40.424167;81;2003-04-01;1.990
-3.712222;40.424167;81;2003-05-01;1.120
-3.712222;40.424167;81;2003-06-01;1.120
-3.712222;40.424167;81;2003-07-01;1.370
-3.712222;40.424167;81;2003-08-01;1.030
-3.712222;40.424167;81;2003-09-01;1.580
-3.712222;40.424167;81;2003-10-01;1.560
-3.712222;40.424167;81;2003-11-01;1.100
-3.712222;40.424167;81;2003-12-01;1.310
-3.712222;40.424167;82;2003-01-01;8.280
-3.712222;40.424167;82;2003-02-01;7.310
-3.712222;40.424167;82;2003-03-01;7.450
-3.712222;40.424167;82;2003-04-01;7.910
-3.712222;40.424167;82;2003-05-01;7.150
-3.712222;40.424167;82;2003-06-01;7.050
-3.712222;40.424167;82;2003-07-01;6.670
-3.712222;40.424167;82;2003-08-01;7.790
-3.712222;40.424167;82;2003-09-01;7.480
-3.712222;40.424167;82;2003-10-01;10.55
-3.712222;40.424167;82;2003-11-01;7.500
-3.712222;40.424167;82;2003-12-01;7.070
-3.712222;40.424167;83;2003-01-01;11.49
-3.712222;40.424167;83;2003-02-01;5.500
-3.712222;40.424167;83;2003-03-01;10.86
-3.712222;40.424167;83;2003-04-01;14.38
-3.712222;40.424167;83;2003-05-01;16.49
-3.712222;40.424167;83;2003-06-01;21.33
-3.712222;40.424167;83;2003-07-01;21.26
-3.712222;40.424167;83;2003-08-01;29.96
-3.712222;40.424167;83;2003-09-01;22.97
-3.712222;40.424167;83;2003-10-01;16.37
-3.712222;40.424167;83;2003-11-01;10.72
-3.712222;40.424167;83;2003-12-01;4.360
-3.712222;40.424167;86;2003-01-01;85.52
-3.712222;40.424167;86;2003-02-01;57.45
